"name","race","gender"
"Bibi","asian","F"
"Min","asian","F"
"Tia","asian","F"
"Lu","asian","F"
"Nikita","asian","F"
"Hong","asian","F"
"Huong","asian","F"
"Chong","asian","F"
"Eun","asian","F"
"Mai","asian","F"
"Parul","asian","F"
"Yu","asian","F"
"Sonal","asian","F"
"Yong","asian","F"
"Kim","asian","F"
"Kai","asian","M"
"Sandeep","asian","M"
"Long","asian","M"
"Samir","asian","M"
"Tuan","asian","M"
"Noe","asian","M"
"Xin","asian","M"
"Tae","asian","M"
"Jian","asian","M"
"Hoang","asian","M"
"Wei","asian","M"
"Huy","asian","M"
"Ravi","asian","M"
"Gurdeep","asian","M"
"Jae","asian","M"
"Tasha","black","F"
"Leilani","black","F"
"Sheena","black","F"
"Yolanda","black","F"
"Tanisha","black","F"
"Yvonne","black","F"
"Tamara","black","F"
"Tamika","black","F"
"Latonya","black","F"
"Latisha","black","F"
"Jasmin","black","F"
"Wanda","black","F"
"Yasmin","black","F"
"Demetria","black","F"
"Desiree","black","F"
"Duane","black","M"
"Tyrone","black","M"
"Devin","black","M"
"Lamont","black","M"
"Reginald","black","M"
"Quincy","black","M"
"Byron","black","M"
"Jermaine","black","M"
"Vernon","black","M"
"Jamal","black","M"
"Marlon","black","M"
"Dwayne","black","M"
"Lamar","black","M"
"Kendrick","black","M"
"Jarvis","black","M"
"Selina","hispanic","F"
"Isabel","hispanic","F"
"Viviana","hispanic","F"
"Celia","hispanic","F"
"Maribel","hispanic","F"
"Maya","hispanic","F"
"Karina","hispanic","F"
"Vanessa","hispanic","F"
"Angelia","hispanic","F"
"Juliana","hispanic","F"
"Rosa","hispanic","F"
"Francisca","hispanic","F"
"Dora","hispanic","F"
"Esperanza","hispanic","F"
"Raquel","hispanic","F"
"Carlos","hispanic","M"
"Angelo","hispanic","M"
"Danilo","hispanic","M"
"Ruben","hispanic","M"
"Emmanuel","hispanic","M"
"Nestor","hispanic","M"
"Oscar","hispanic","M"
"Marco","hispanic","M"
"Mario","hispanic","M"
"Andreas","hispanic","M"
"Rodrigo","hispanic","M"
"Isidro","hispanic","M"
"Hugo","hispanic","M"
"Josue","hispanic","M"
"Fidel","hispanic","M"
"Cindy","white","F"
"Pamela","white","F"
"Jocelyn","white","F"
"Hope","white","F"
"Esther","white","F"
"Victoria","white","F"
"Candice","white","F"
"Theresa","white","F"
"Anita","white","F"
"Iris","white","F"
"Bertha","white","F"
"Tracy","white","F"
"Veronica","white","F"
"Bernadette","white","F"
"Tracey","white","F"
"Brian","white","M"
"Duke","white","M"
"Ian","white","M"
"Gabriel","white","M"
"Mark","white","M"
"Erick","white","M"
"Marvin","white","M"
"Arnold","white","M"
"Charlie","white","M"
"Sherman","white","M"
"Warren","white","M"
"Lance","white","M"
"Leon","white","M"
"Edward","white","M"
"Terry","white","M"
